AC_REG,Year,Quarter,Month,Day,ENTRY_DATE,Year,Quarter,Month,Day,FLT_NO,Year,Quarter,Month,Day,IN_HRS,IN_MNT,LNDGS,Year,Quarter,Month,Day,OFF_HRS,OFF_MNT,Year,Quarter,Month,Day,ON_HRS,ON_MNT,OPS_CODE,OPS_DATE,Year,Quarter,Month,Day,OUT_HRS,OUT_MNT,STN_FROM,STN_TO,TYPE_CODE,USER_ID
AUR,1899,Qtr 4,December,31,20020111,1899,Qtr 4,December,31,604,1899,Qtr 4,December,31,12,13,1,1899,Qtr 4,December,31,11,13,1899,Qtr 4,December,31,12,8,REV,20020111,1899,Qtr 4,December,31,11,0,LHE,ISB,D,DL29
AUR,1899,Qtr 4,December,31,60060311,1899,Qtr 4,December,31,605,1899,Qtr 4,December,31,10,55,3,1899,Qtr 4,December,31,6,107,1899,Qtr 4,December,31,9,100,REV,60060311,1899,Qtr 4,December,31,6,85,ISB,GIL,D,DL26
AUR,1899,Qtr 4,December,31,20020104,1899,Qtr 4,December,31,605,1899,Qtr 4,December,31,3,29,1,1899,Qtr 4,December,31,2,28,1899,Qtr 4,December,31,3,25,REV,20020103,1899,Qtr 4,December,31,2,19,ISB,GIL,D,DL28
AUR,1899,Qtr 4,December,31,60060311,1899,Qtr 4,December,31,606,1899,Qtr 4,December,31,14,83,3,1899,Qtr 4,December,31,10,127,1899,Qtr 4,December,31,14,68,REV,60060311,1899,Qtr 4,December,31,10,110,GIL,ISB,D,DL26
AUR,1899,Qtr 4,December,31,20020104,1899,Qtr 4,December,31,606,1899,Qtr 4,December,31,4,59,1,1899,Qtr 4,December,31,3,53,1899,Qtr 4,December,31,4,55,REV,20020103,1899,Qtr 4,December,31,3,49,GIL,ISB,D,DL28
AUR,1899,Qtr 4,December,31,40040213,1899,Qtr 4,December,31,609,1899,Qtr 4,December,31,26,68,2,1899,Qtr 4,December,31,24,21,1899,Qtr 4,December,31,26,51,REV,40040212,1899,Qtr 4,December,31,24,10,PEW,LHE,D,DL28
AUR,1899,Qtr 4,December,31,40040213,1899,Qtr 4,December,31,610,1899,Qtr 4,December,31,31,72,2,1899,Qtr 4,December,31,29,41,1899,Qtr 4,December,31,31,64,REV,40040212,1899,Qtr 4,December,31,28,70,LHE,PEW,D,DL28
AUR,1899,Qtr 4,December,31,20020108,1899,Qtr 4,December,31,611,1899,Qtr 4,December,31,7,5,1,1899,Qtr 4,December,31,5,51,1899,Qtr 4,December,31,7,0,REV,20020108,1899,Qtr 4,December,31,5,40,ISB,GIL,D,DL26
AUR,1899,Qtr 4,December,31,20020104,1899,Qtr 4,December,31,611,1899,Qtr 4,December,31,6,44,1,1899,Qtr 4,December,31,5,40,1899,Qtr 4,December,31,6,40,REV,20020103,1899,Qtr 4,December,31,5,34,ISB,GIL,D,DL28
AUR,1899,Qtr 4,December,31,20020108,1899,Qtr 4,December,31,612,1899,Qtr 4,December,31,8,27,1,1899,Qtr 4,December,31,7,25,1899,Qtr 4,December,31,8,22,REV,20020108,1899,Qtr 4,December,31,7,20,GIL,ISB,D,DL26
AUR,1899,Qtr 4,December,31,20020104,1899,Qtr 4,December,31,612,1899,Qtr 4,December,31,8,14,1,1899,Qtr 4,December,31,7,14,1899,Qtr 4,December,31,8,9,REV,20020103,1899,Qtr 4,December,31,7,4,GIL,ISB,D,DL28
AUR,1899,Qtr 4,December,31,20020102,1899,Qtr 4,December,31,613,1899,Qtr 4,December,31,15,35,1,1899,Qtr 4,December,31,14,38,1899,Qtr 4,December,31,15,30,REV,20020102,1899,Qtr 4,December,31,14,30,ISB,LHE,D,DL26
AUR,1899,Qtr 4,December,31,20020102,1899,Qtr 4,December,31,614,1899,Qtr 4,December,31,17,9,1,1899,Qtr 4,December,31,16,22,1899,Qtr 4,December,31,17,5,REV,20020102,1899,Qtr 4,December,31,16,2,LHE,ISB,D,DL26
